poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
84119,1365,Change Research,1802,Carolina Forward,Change Research,48,Change Research,B-,Online Panel,North Carolina,9/1/23,9/5/23,,"",,181296,914,lv,,lv,,9/11/23 09:58,"",https://carolinaforward.org/blog/reproductive-freedom-amendment/,"",false,DEM,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,38.0
84119,1365,Change Research,1802,Carolina Forward,Change Research,48,Change Research,B-,Online Panel,North Carolina,9/1/23,9/5/23,,"",,181296,914,lv,,lv,,9/11/23 09:58,"",https://carolinaforward.org/blog/reproductive-freedom-amendment/,"",false,DEM,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,42.0
84098,204,Hart Research Associates,"","",Hart Research Associates,113,Garin-Hart-Yang Research Group,B+,,Kentucky,8/30/23,9/1/23,30953,Andy Beshear,DEM,181157,716,lv,,lv,,9/6/23 20:24,"",https://www.nysun.com/article/polls-show-democratic-incumbent-beshear-running-away-with-kentucky-governors-race-but-they-may-not-tell-the-whole-story,"",true,DEM,9550,2023,Governor,0,,11/7/23,general,false,false,,DEM,Beshear,30953,Andy Beshear,51.0
84098,204,Hart Research Associates,"","",Hart Research Associates,113,Garin-Hart-Yang Research Group,B+,,Kentucky,8/30/23,9/1/23,30953,Andy Beshear,DEM,181157,716,lv,,lv,,9/6/23 20:24,"",https://www.nysun.com/article/polls-show-democratic-incumbent-beshear-running-away-with-kentucky-governors-race-but-they-may-not-tell-the-whole-story,"",true,DEM,9550,2023,Governor,0,,11/7/23,general,false,false,,REP,Cameron,30950,Daniel Jay Cameron,42.0
84072,438,Siena,1955,Mississippi Today,Siena College,305,Siena College,A,Live Phone,Mississippi,8/20/23,8/28/23,,"",,180886,650,lv,,lv,,9/1/23 11:17,"",https://mississippitoday.org/2023/09/01/tate-reeves-brandon-presley-august-poll/,"",false,,9551,2023,Governor,0,,11/7/23,general,false,false,,DEM,Presley,30948,Brandon E. Presley,41.0
84072,438,Siena,1955,Mississippi Today,Siena College,305,Siena College,A,Live Phone,Mississippi,8/20/23,8/28/23,,"",,180886,650,lv,,lv,,9/1/23 11:17,"",https://mississippitoday.org/2023/09/01/tate-reeves-brandon-presley-august-poll/,"",false,,9551,2023,Governor,0,,11/7/23,general,false,false,,REP,Reeves,30949,Tate Reeves,52.0
83960,1814,Faucheux Strategies,"48,376,771,2019,2020,2021",WWL-TV | The Advocate | The Times-Picayune | Urban League of Louisiana | KATC-TV | Public Affairs Research Council of Louisiana,Faucheux Strategies,784,Faucheux Strategies,,Live Phone,Louisiana,8/14/23,8/19/23,,"",,179912,800,lv,,lv,,8/23/23 11:05,"",https://www.theadvocate.com/baton_rouge/news/politics/jeff-landry-continues-to-lead-in-the-governors-race/article_c423aac5-1011-5b47-85af-0bbd92f8d6b1.html,"",false,,9497,2023,Governor,0,,10/14/23,jungle primary,false,false,,DEM,Wilson,30938,Shawn Wilson,26.0
83960,1814,Faucheux Strategies,"48,376,771,2019,2020,2021",WWL-TV | The Advocate | The Times-Picayune | Urban League of Louisiana | KATC-TV | Public Affairs Research Council of Louisiana,Faucheux Strategies,784,Faucheux Strategies,,Live Phone,Louisiana,8/14/23,8/19/23,,"",,179912,800,lv,,lv,,8/23/23 11:05,"",https://www.theadvocate.com/baton_rouge/news/politics/jeff-landry-continues-to-lead-in-the-governors-race/article_c423aac5-1011-5b47-85af-0bbd92f8d6b1.html,"",false,,9497,2023,Governor,0,,10/14/23,jungle primary,false,false,,REP,Landry,29465,Jeff Landry,36.0
83960,1814,Faucheux Strategies,"48,376,771,2019,2020,2021",WWL-TV | The Advocate | The Times-Picayune | Urban League of Louisiana | KATC-TV | Public Affairs Research Council of Louisiana,Faucheux Strategies,784,Faucheux Strategies,,Live Phone,Louisiana,8/14/23,8/19/23,,"",,179912,800,lv,,lv,,8/23/23 11:05,"",https://www.theadvocate.com/baton_rouge/news/politics/jeff-landry-continues-to-lead-in-the-governors-race/article_c423aac5-1011-5b47-85af-0bbd92f8d6b1.html,"",false,,9497,2023,Governor,0,,10/14/23,jungle primary,false,false,,IND,Lundy,30940,Hunter Lundy,7.0
83960,1814,Faucheux Strategies,"48,376,771,2019,2020,2021",WWL-TV | The Advocate | The Times-Picayune | Urban League of Louisiana | KATC-TV | Public Affairs Research Council of Louisiana,Faucheux Strategies,784,Faucheux Strategies,,Live Phone,Louisiana,8/14/23,8/19/23,,"",,179912,800,lv,,lv,,8/23/23 11:05,"",https://www.theadvocate.com/baton_rouge/news/politics/jeff-landry-continues-to-lead-in-the-governors-race/article_c423aac5-1011-5b47-85af-0bbd92f8d6b1.html,"",false,,9497,2023,Governor,0,,10/14/23,jungle primary,false,false,,REP,Waguespack,30996,Stephen Waguespack,6.0
