poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,yes,no,alternate_answers
85626,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,1/14/24,1/16/24,,"",,190394,1500,a,,a,,1/17/24 10:50,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Jt39PjS.pdf,"",,,16.0,62.0,23.0
85626,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,1/14/24,1/16/24,,"",,190395,1472,rv,,rv,,1/17/24 10:50,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HvTrDQB.pdf,"",,,16.0,68.0,15.0
85578,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,1/7/24,1/9/24,,"",,190173,1500,a,,a,,1/10/24 10:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_O5mTWEc.pdf,"",,,19.0,56.0,26.0
85578,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,1/7/24,1/9/24,,"",,190174,1417,rv,,rv,,1/10/24 10:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wOkNqe4.pdf,"",,,18.0,62.0,20.0
85493,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,12/31/23,1/2/24,,"",,189619,1500,a,,a,,1/3/24 10:44,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_X9asmDv.pdf,"",,,18.0,58.0,24.0
85493,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,12/31/23,1/2/24,,"",,189620,1343,rv,,rv,,1/3/24 10:44,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_11nGFKX.pdf,"",,,20.0,62.0,19.0
85453,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,12/16/23,12/18/23,,"",,189308,1500,a,,a,,12/20/23 09:30,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_FBzrwMv.pdf,"",,,15.0,56.0,29.0
85453,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,12/16/23,12/18/23,,"",,189309,1336,rv,,rv,,12/20/23 09:30,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pJolTxJ.pdf,"",,,16.0,62.0,22.0
85408,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,7.0,,12/13/23,12/14/23,,"",,189021,2034,rv,,rv,,12/15/23 18:39,"",https://harvardharrispoll.com/wp-content/uploads/2023/12/HHP_Dec23_KeyResults.pdf,"",,,35.0,58.0,7.0
85413,1597,Beacon/Shaw,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,6.0,,12/10/23,12/13/23,,"",,189063,1007,rv,,rv,,12/17/23 14:59,"",https://www.foxnews.com/official-polls/fox-news-poll-trumps-lead-gop-primary-widens,"",,,19.0,77.0,4.0
85335,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,9.0,,12/9/23,12/12/23,,"",,188707,1500,a,,a,,12/13/23 09:27,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_O1RjLdq.pdf,"",,,14.0,62.0,25.0
