politician,date,answer,pct_estimate,lo,hi
Joe Biden,2023-09-15,Approve,40.81002680011919,36.293186007384065,45.32686759285431
Joe Biden,2023-09-15,Disapprove,54.466437599701116,49.92219326284019,59.010681936562044
Joe Biden,2023-09-14,Approve,40.91677177254196,36.398060951639984,45.43548259344394
Joe Biden,2023-09-14,Disapprove,54.4091115954944,49.85770639862427,58.96051679236453
Joe Biden,2023-09-13,Approve,41.11150795240183,36.59578551663268,45.62723038817098
Joe Biden,2023-09-13,Disapprove,54.275663572975034,49.722452700064736,58.82887444588533
Joe Biden,2023-09-12,Approve,40.752886435714125,36.232746991803836,45.27302587962441
Joe Biden,2023-09-12,Disapprove,55.20243244317663,50.647919908797284,59.75694497755598
Joe Biden,2023-09-11,Approve,40.47217944765508,35.95339564417966,44.9909632511305
Joe Biden,2023-09-11,Disapprove,55.932465546557005,51.381462792209646,60.48346830090436
Joe Biden,2023-09-10,Approve,40.15161528391445,35.63605723379161,44.667173334037294
Joe Biden,2023-09-10,Disapprove,56.25819966314486,51.72181423219431,60.7945850940954
Joe Biden,2023-09-09,Approve,40.141502154600076,35.625944104477234,44.65706020472292
Joe Biden,2023-09-09,Disapprove,56.233669401787076,51.69728397083653,60.77005483273762
Joe Biden,2023-09-08,Approve,40.11226451915663,35.59576448261334,44.628764555699924
Joe Biden,2023-09-08,Disapprove,55.698788450100345,51.16701368618502,60.23056321401567
Joe Biden,2023-09-07,Approve,40.018152556642995,35.496158331072,44.54014678221399
Joe Biden,2023-09-07,Disapprove,55.9700343059447,51.430031831798345,60.510036780091056
Joe Biden,2023-09-06,Approve,40.344973322044616,35.82909258266762,44.86085406142161
Joe Biden,2023-09-06,Disapprove,55.90168993294327,51.363547560323234,60.43983230556331
Joe Biden,2023-09-05,Approve,40.75509617933765,36.23409188589697,45.276100472778325
Joe Biden,2023-09-05,Disapprove,55.097263362366135,50.55455087573355,59.63997584899872
Joe Biden,2023-09-04,Approve,40.52931426277377,36.00764984456019,45.05097868098734
Joe Biden,2023-09-04,Disapprove,54.97655297573653,50.43296410651692,59.52014184495614
Joe Biden,2023-09-03,Approve,40.83061020984975,36.30784010829663,45.35338031140287
Joe Biden,2023-09-03,Disapprove,54.66213236136913,50.11739837321155,59.20686634952671
Joe Biden,2023-09-02,Approve,40.854156801920176,36.331386700367055,45.3769269034733
Joe Biden,2023-09-02,Disapprove,54.62352748088142,50.07879349272384,59.168261469039
