poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,imputed_sample_size,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181361,1500,a,,a,,9/13/23 09:55,"",https://docs.cdn.yougov.com/0d5jmcbf98/econtoplines.pdf,"",false,,1500,11,Donald Trump,41.0,56.0,3.0,26.0,15.0,11.0,45.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181362,1334,rv,,rv,,9/13/23 09:55,"",https://docs.cdn.yougov.com/xttgobsv8q/econTabReport.pdf,"",false,,1334,11,Donald Trump,41.0,58.0,1.0,28.0,13.0,8.0,50.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181367,1500,a,,a,,9/13/23 09:55,"",https://docs.cdn.yougov.com/0d5jmcbf98/econtoplines.pdf,"",false,,1500,42,Joe Biden,41.0,56.0,3.0,19.0,22.0,13.0,43.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181368,1334,rv,,rv,,9/13/23 09:55,"",https://docs.cdn.yougov.com/xttgobsv8q/econTabReport.pdf,"",false,,1334,42,Joe Biden,42.0,56.0,1.0,22.0,20.0,11.0,45.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181370,1500,a,,a,,9/13/23 09:55,"",https://docs.cdn.yougov.com/0d5jmcbf98/econtoplines.pdf,"",false,,1500,3084,Ron DeSantis,36.0,46.0,18.0,15.0,21.0,11.0,35.0
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181371,1334,rv,,rv,,9/13/23 09:55,"",https://docs.cdn.yougov.com/xttgobsv8q/econTabReport.pdf,"",false,,1334,3084,Ron DeSantis,39.0,52.0,9.0,17.0,22.0,11.0,41.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181548,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,11,Donald Trump,43.0,57.0,0,27.0,16.0,9.0,47.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181549,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,3084,Ron DeSantis,37.0,53.0,10.0,13.0,23.0,16.0,38.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181550,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,19009,Vivek G. Ramaswamy,35.0,36.0,28.0,13.0,22.0,14.0,23.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181551,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,6657,Nikki Haley,33.0,40.0,28.0,10.0,22.0,19.0,22.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181552,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,25,Mike Pence,32.0,63.0,5.0,6.0,26.0,28.0,35.0
84158,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,9/9/23,9/12/23,,"",,181553,1012,rv,,rv,,9/14/23 19:24,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-expands-lead-gop-primary-race,"",false,,1012,2712,Tim Scott,27.0,33.0,40.0,8.0,19.0,16.0,17.0
