poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
84136,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/10/23,9/12/23,,"",,181373,1334,rv,,rv,,9/13/23 09:57,"",https://docs.cdn.yougov.com/xttgobsv8q/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,42.0,
84144,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,9/7/23,9/10/23,,"",,181515,2000,lv,,lv,,9/14/23 09:25,"",https://americasnewmajorityproject.com/more-than-50-say-they-plan-to-vote-early/,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.2,45.1,
84159,1347,Cygnal Political,"","",Cygnal,67,Cygnal,A,,,9/4/23,9/6/23,,"",,181568,2000,lv,,lv,,9/14/23 19:25,"",https://www.cygn.al/wp-content/uploads/2023/09/Cygnal-September-National-Deck.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.3,45.6,
84095,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,9/2/23,9/5/23,,"",,181020,1329,rv,,rv,,9/6/23 12:58,"",https://docs.cdn.yougov.com/ze05ewgo9y/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.0,42.0,
84118,356,OnMessage Inc.,1758,Senate Opportunity Fund,OnMessage,239,OnMessage Inc.,B/C,Online Panel,,8/30/23,9/1/23,,"",,181295,800,lv,,lv,,9/11/23 09:58,"",https://senopportunity.org/wp-content/uploads/2023/09/2023-09-SOF-45-PUBLIC-DECK.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,47.0,
84097,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,A/B,Online Panel,,8/28/23,8/31/23,,"",,181158,1022,lv,,lv,,9/6/23 20:25,"",https://echeloninsights.com/in-the-news/august-verified-voter-omnibus/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,46.0,
84074,1822,Fabrizio/GBAO,276,Wall Street Journal,"Fabrizio, Lee & Associates/GBAO",796,"Fabrizio, Lee & Associates/GBAO",,Live Phone/Text-to-Web,,8/24/23,8/30/23,,"",,180899,1500,rv,,rv,,9/4/23 09:16,"",https://www.wsj.com/politics/elections/bidens-age-economic-worries-endanger-re-election-in-2024-wsj-poll-finds-67a7bba8,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.0,44.0,
84039,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/26/23,8/29/23,,"",,180711,1303,rv,,rv,,8/30/23 10:32,"",https://docs.cdn.yougov.com/eqlqwyoypg/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,42.0,
83989,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel,,8/25/23,8/26/23,,"",,180417,1000,rv,,rv,,8/28/23 10:28,"",https://emersoncollegepolling.com/august-2023-national-poll-trump-debate-snub-may-open-door-for-other-candidates/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.1,43.4,
84081,1701,NewsNation/Decision Desk HQ,"","",NewsNation,696,NewsNation,B/C,Online Panel,,8/24/23,8/25/23,,"",,180959,1000,rv,,rv,,9/6/23 10:09,"",https://www.newsnationnow.com/polls/full-poll-election-education-ufos/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.06,46.78,
83973,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,8/15/23,8/23/23,,"",,180341,1000,lv,,lv,,8/24/23 11:31,"",https://mclaughlinonline.com/pols/wp-content/uploads/2023/08/National-Presentation-RELEASE-8-23-2023-1.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,48.0,
83962,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/19/23,8/22/23,,"",,179909,1309,rv,,rv,,8/23/23 10:40,"",https://docs.cdn.yougov.com/qaelwix52p/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83951,1416,HarrisX,2017,American Free Enterprise Chamber of Commerce,HarrisX,133,Harris Insights & Analytics,B,,,8/17/23,8/21/23,,"",,179984,2327,rv,,rv,,8/23/23 12:59,"",https://harrisx.com/2023/08/amfree-presidential-race-2024/,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,52.0,48.0,
83963,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,8/17/23,8/20/23,,"",,179914,2000,lv,,lv,,8/23/23 12:22,"",https://americasnewmajorityproject.com/state-of-play-august-17-20-2023/,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,40.0,45.6,
84156,921,Clarity,"","",Clarity Campaign Labs,52,Clarity Campaign Labs,B/C,Online Panel,,8/10/23,8/16/23,,"",,181537,2018,rv,,rv,,9/14/23 13:38,"",https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6503070f173dcb6cc26f9025/1694697234331/Clarity+Omnibus+Overview+-+August+2023.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83418,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/12/23,8/15/23,,"",,178845,1321,rv,,rv,,8/16/23 10:09,"",https://docs.cdn.yougov.com/18ox1hne2s/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,42.0,
83411,1554,RMG Research,"","",RMG Research,555,RMG Research,B-,Online Panel,,8/11/23,8/14/23,,"",,178809,890,lv,,lv,,8/16/23 09:43,"",https://www.dailysignal.com/2023/08/16/poll-60-of-republican-primary-voters-support-trump-for-president/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.0,48.0,
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/23,8/8/23,,"",,178658,1178,rv,,rv,,8/9/23 09:56,"",https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,42.0,
83434,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,8/4/23,8/6/23,,"",,179041,8753,rv,,rv,TRUE,8/17/23 10:14,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83435,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,8/3/23,8/5/23,,"",,179042,7439,rv,,rv,TRUE,8/17/23 10:15,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
