candidate,date,pct_trend_adjusted,state,cycle
Joseph R. Biden Jr.,2020-11-03,37.82732,Alabama,2020
Donald Trump,2020-11-03,57.36126,Alabama,2020
Joseph R. Biden Jr.,2020-11-02,37.82732,Alabama,2020
Donald Trump,2020-11-02,57.36126,Alabama,2020
Joseph R. Biden Jr.,2020-11-01,38.07011,Alabama,2020
Donald Trump,2020-11-01,57.47665,Alabama,2020
Joseph R. Biden Jr.,2020-10-31,38.24776,Alabama,2020
Donald Trump,2020-10-31,56.96877,Alabama,2020
Joseph R. Biden Jr.,2020-10-30,38.2715,Alabama,2020
Donald Trump,2020-10-30,56.9408,Alabama,2020
Joseph R. Biden Jr.,2020-10-29,38.36106,Alabama,2020
Donald Trump,2020-10-29,57.2055,Alabama,2020
Joseph R. Biden Jr.,2020-10-28,38.27239,Alabama,2020
Donald Trump,2020-10-28,56.75447,Alabama,2020
Joseph R. Biden Jr.,2020-10-27,38.49934,Alabama,2020
Donald Trump,2020-10-27,56.75352,Alabama,2020
Joseph R. Biden Jr.,2020-10-26,38.46781,Alabama,2020
Donald Trump,2020-10-26,56.68865,Alabama,2020
Joseph R. Biden Jr.,2020-10-25,38.42694,Alabama,2020
Donald Trump,2020-10-25,56.74107,Alabama,2020
Joseph R. Biden Jr.,2020-10-24,38.42048,Alabama,2020
Donald Trump,2020-10-24,56.58099,Alabama,2020
Joseph R. Biden Jr.,2020-10-23,38.50195,Alabama,2020
Donald Trump,2020-10-23,56.48976,Alabama,2020
Joseph R. Biden Jr.,2020-10-22,38.53137,Alabama,2020
Donald Trump,2020-10-22,56.33334,Alabama,2020
Joseph R. Biden Jr.,2020-10-21,38.52689,Alabama,2020
Donald Trump,2020-10-21,56.3206,Alabama,2020
Joseph R. Biden Jr.,2020-10-20,38.54428,Alabama,2020
Donald Trump,2020-10-20,56.29165,Alabama,2020
Joseph R. Biden Jr.,2020-10-19,38.62169,Alabama,2020
Donald Trump,2020-10-19,56.25998,Alabama,2020
Joseph R. Biden Jr.,2020-10-18,38.81382,Alabama,2020
