poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,Answer 0,Answer 0 pct,Answer 1,Answer 1 pct,Answer 2,Answer 2 pct,Answer 3,Answer 3 pct,Answer 4,Answer 4 pct
74918,1238,Probolsky Research,"","",Probolsky Research,259,Probolsky Research,B/C,Live Phone/Online,California,3/16/21,3/19/21,,"",,142741,900,rv,,rv,,6/10/21 10:27,"",https://www.probolskyresearch.com/2021/03/23/newsom-recall-poll/,538,false,"","no, remain in office",45.7,"yes, remove from office",40.0,,,,,,
74922,382,PPIC,"","",Public Policy Institute of California,262,Public Policy Institute of California,A/B,Live Phone,California,5/9/21,5/18/21,,"",,142747,1074,lv,,lv,,6/10/21 10:27,"",https://www.ppic.org/wp-content/uploads/crosstabs-likely-voters-0521.pdf,538,false,"","no, remain in office",57.0,"yes, remove from office",40.0,,,,,,
74921,1363,UC Berkeley,300,LA Times,"University of California, Berkeley",457,"University of California, Berkeley",B/C,Online,California,4/29/21,5/5/21,,"",,142746,10289,rv,,rv,,6/10/21 10:27,"",https://escholarship.org/uc/item/1m66w3d9,538,false,"","no, remain in office",49.0,"yes, remove from office",36.0,,,,,,
74764,460,SurveyUSA,583,KABC-TV (California),SurveyUSA,325,SurveyUSA,A,Online,California,4/30/21,5/2/21,,"",,142745,642,rv,,rv,,6/10/21 10:27,"",https://www.surveyusa.com/client/PollReport.aspx?g=e3ae1d7e-9d6e-44b2-b1f8-e51c51df9ea2,538,false,"","no, remain in office",47.0,"yes, remove from office",36.0,,,,,,
74920,294,McLaughlin,1642,California Republican Party,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Live Phone,California,4/15/21,4/19/21,,"",,142744,1000,lv,,lv,,6/10/21 10:27,"",https://cagop.my.salesforce.com/sfc/p/#3i000000CsCG/a/3i000000DHeX/EErV31t96ji_Hm0jK7aqg0Ll3d._hRKkXj7vagST83M,538,true,REP,"no, remain in office",45.0,"yes, remove from office",45.0,,,,,,
74919,382,PPIC,"","",Public Policy Institute of California,262,Public Policy Institute of California,A/B,Live Phone,California,3/14/21,3/23/21,,"",,142743,1174,lv,,lv,,6/10/21 10:27,"",https://www.ppic.org/wp-content/uploads/ppic-statewide-survey-californians-and-their-government-march-2021.pdf,538,false,"","no, remain in office",56.0,"yes, remove from office",40.0,,,,,,
74916,1418,WPA Intelligence,"","",WPA Intelligence,383,WPA Intelligence (WPAi),B/C,Text/IVR,California,2/12/21,2/14/21,20316,Kevin L. Faulconer,REP,142739,645,lv,,lv,,6/10/21 10:27,"",https://www.politico.com/f/?id=00000177-b286-d644-a377-fe9f2d260000,538,false,REP,"no, remain in office",43.0,"yes, remove from office",47.0,,,,,,
74917,1102,Emerson College Polling Society,1185,Nexstar,Emerson College,88,Emerson College,A-,Text/Online,California,3/12/21,3/14/21,,"",,142740,1045,rv,,rv,,6/10/21 10:27,"",https://emersonpolling.reportablenews.com/pr/california-poll-governor-newsom-facing-potential-recall,538,false,"","no, remain in office",42.0,"yes, remove from office",38.0,,,,,,
74915,1363,UC Berkeley,"","","University of California, Berkeley",457,"University of California, Berkeley",B/C,Online,California,1/23/21,1/29/21,,"",,142738,7172,lv,,lv,,6/10/21 10:27,"",https://escholarship.org/uc/item/8hm883bf,538,false,"","no, remain in office",49.0,"yes, remove from office",36.0,,,,,,
74915,1363,UC Berkeley,"","","University of California, Berkeley",457,"University of California, Berkeley",B/C,Online,California,1/23/21,1/29/21,,"",,142737,10357,rv,,rv,,6/10/21 10:27,"",https://escholarship.org/uc/item/1tj8q5rb,538,false,"","no, remain in office",45.0,"yes, remove from office",36.0,,,,,,
